"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"KiCad-Logo2_5mm_SilkScreen";1;"KiCad-Logo2_5mm_SilkScreen";;;
2;"G***";"Cat-Logo";1;"LOGO";;;
3;"J6";"PinHeader_1x03_P2.54mm_Vertical";1;"GND_Conn";;;
4;"R8";"Resistor_SMD_1225_2W";1;"5.6";;;
5;"R7";"R_2512_6332Metric_Pad1.52x3.35mm_HandSolder";1;"11";;;
6;"R6";"R_2512_6332Metric_Pad1.52x3.35mm_HandSolder";1;"13.3";;;
7;"R5";"R_2512_6332Metric_Pad1.52x3.35mm_HandSolder";1;"16.5";;;
8;"R4";"R_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"22";;;
9;"R3";"R_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"33";;;
10;"R2";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"68";;;
11;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"165";;;
12;"J5";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
13;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Vcc_Conn";;;
14;"J3";"PinHeader_1x04_P1.27mm_Vertical";1;"GND_Conn";;;
15;"J2,J1";"PinHeader_1x03_P1.27mm_Vertical";2;"Vcc_Conn";;;
