node_id,test_id,pack_id,ra_id,ecl,selected_by,threshold,hfn1,sfn1,sf1,hfn2,sfn2,sf2,subcarrier_ind_nsc,pusch_start_subframe,modulation_coding_scheme_tbs,repetition_number,subcarrier_space,modulation_coding_scheme_imcs,modulation_coding_scheme_itbs,modulation_coding_scheme_qm,subcarrier_ind_isc,subcarrier_ind_len,resource_unit_number,result,expected_rapid
C08,1309,29,1,1,2,"[64446, 64346]",450,390,4,450,394,8,2048,12,88,2,1(SUBCARRIER_SPACE_15_KHZ),1,0,2,11,1,3,0(LL1_STORE_RAR_SUCCESS),21
C08,1312,13,1,0,2,"[64446, 64346]",141,448,8,141,449,9,1,12,88,1,1(SUBCARRIER_SPACE_15_KHZ),2,0,2,0,1,1,0(LL1_STORE_RAR_SUCCESS),12
C08,1312,39,1,1,2,"[64446, 64346]",308,326,4,308,330,8,2048,12,88,2,1(SUBCARRIER_SPACE_15_KHZ),1,0,2,11,1,3,0(LL1_STORE_RAR_SUCCESS),12
C08,1313,5,1,1,2,"[64446, 64346]",359,70,4,359,74,8,128,12,88,2,1(SUBCARRIER_SPACE_15_KHZ),1,0,2,7,1,3,0(LL1_STORE_RAR_SUCCESS),45
C08,1313,37,1,2,2,"[64446, 64346]",564,652,8,564,670,7,128,12,88,2,1(SUBCARRIER_SPACE_15_KHZ),1,0,2,7,1,3,0(LL1_STORE_RAR_SUCCESS),38
C08,1315,7,1,1,2,"[64446, 64346]",872,582,4,872,586,8,2048,12,88,2,1(SUBCARRIER_SPACE_15_KHZ),1,0,2,11,1,3,0(LL1_STORE_RAR_SUCCESS),22
C08,1315,7,2,1,2,"[64446, 64346]",872,646,4,872,650,8,1024,12,88,2,1(SUBCARRIER_SPACE_15_KHZ),1,0,2,10,1,3,0(LL1_STORE_RAR_SUCCESS),17
C08,1315,29,1,1,2,"[64446, 64346]",1017,134,4,1017,138,8,1,12,88,1,1(SUBCARRIER_SPACE_15_KHZ),2,0,2,0,1,1,0(LL1_STORE_RAR_SUCCESS),15
C08,1316,6,1,0,2,"[64446, 64346]",120,576,8,120,577,9,1,12,88,1,1(SUBCARRIER_SPACE_15_KHZ),2,0,2,0,1,1,0(LL1_STORE_RAR_SUCCESS),40
C08,1316,6,2,0,2,"[64446, 64346]",120,640,8,120,641,9,1,12,88,1,1(SUBCARRIER_SPACE_15_KHZ),2,0,2,0,1,1,0(LL1_STORE_RAR_SUCCESS),42
C08,1316,6,3,0,2,"[64446, 64346]",120,640,8,120,641,9,1,12,88,1,1(SUBCARRIER_SPACE_15_KHZ),2,0,2,0,1,1,0(LL1_STORE_RAR_SUCCESS),45
C08,1316,6,4,0,2,"[64446, 64346]",120,704,8,120,705,9,1,12,88,1,1(SUBCARRIER_SPACE_15_KHZ),2,0,2,0,1,1,0(LL1_STORE_RAR_SUCCESS),44
C05,1303,2,1,0,2,"[64466, 64366]",572,832,8,572,833,9,1,12,88,1,1(SUBCARRIER_SPACE_15_KHZ),2,0,2,0,1,1,0(LL1_STORE_RAR_SUCCESS),43
C05,1304,12,1,1,2,"[64466, 64366]",891,134,4,891,138,8,2048,12,88,2,1(SUBCARRIER_SPACE_15_KHZ),1,0,2,11,1,3,0(LL1_STORE_RAR_SUCCESS),13
C07,1201,4,1,1,2,"[64446, 64346]",739,454,4,739,458,8,64,12,88,2,1(SUBCARRIER_SPACE_15_KHZ),1,0,2,6,1,3,0(LL1_STORE_RAR_SUCCESS),35
C07,1201,8,1,0,2,"[64446, 64346]",793,896,8,793,897,9,1,12,88,1,1(SUBCARRIER_SPACE_15_KHZ),2,0,2,0,1,1,0(LL1_STORE_RAR_SUCCESS),27
C07,1201,10,1,2,2,"[64446, 64346]",814,12,8,814,30,7,16,12,88,32,1(SUBCARRIER_SPACE_15_KHZ),0,0,1,4,1,4,0(LL1_STORE_RAR_SUCCESS),36
C07,1201,12,1,0,2,"[64446, 64346]",834,448,8,834,449,9,2048,12,88,2,1(SUBCARRIER_SPACE_15_KHZ),1,0,2,11,1,3,0(LL1_STORE_RAR_SUCCESS),35
C07,1201,16,1,1,2,"[64446, 64346]",872,774,4,872,778,8,1024,12,88,2,1(SUBCARRIER_SPACE_15_KHZ),1,0,2,10,1,3,0(LL1_STORE_RAR_SUCCESS),26
